Campaign Name,Tags,Subject,List,Send Time,Send Weekday,Unique Placed Order,Placed Order Rate,Revenue,Unique Opens,Open Rate,Total Opens,Unique Clicks,Click Rate,Total Clicks,Unsubscribes,Spam Complaints,Spam Complaints Rate,Successful Deliveries,Bounces,Bounce Rate,Campaign ID,Campaign Channel,Client ID,Client Name
MM | 20260406 | HIGH-INTENT | RESEND | HOODIE RUNNING OUT,,[MULTIPLE VARIATIONS],"ABANDONED CART, CHECKOUT INTENT (ALMOST BUYER), ENGAGED NON-PURCHASERS (HIGH INTENT), NEW SUBSCRIBERS (LAST 14 DAYS), Returning Buyers (2+Orders)",2026-04-12 7:00:00,Sunday,33,0.08%,1471.48,14521,36.41%,19812,634,1.59%,878,195,9,0.02%,39886,56,0.14%,01KNJTEF0JEP6R0FY5Y4T8VCKB,Email,2,Live 2 Live
MM | 20260412 | 14D ENGAGED | RESEND | Megan's Class,,[MULTIPLE VARIATIONS],14D ENGAGED (OPEN/CLICKED) (clone),2026-04-13 7:00:00,Monday,51,0.04%,2388.05,93533,65.53%,128934,922,0.65%,1117,564,15,0.01%,142736,124,0.09%,01KNMWPQB2NNP1G14MXH4ZT9JJ,Email,2,Live 2 Live
MM | 20260413 | RPO | RESEND | Men's Mental Health,,[MULTIPLE VARIATIONS],RECENTLY PLACED ORDER,2026-04-14 7:00:00,Tuesday,59,0.14%,2239.33,17170,41.40%,24333,335,0.81%,387,275,9,0.02%,41471,286,0.69%,01KNMY8JSRJHQM0BGTGSVHZMF6,Email,2,Live 2 Live
MM | 20260412 | 30D ENGAGED | RESEND | T-shirt Bundle,,[MULTIPLE VARIATIONS],14D ENGAGED (OPEN/CLICKED) (clone),2026-04-15 7:00:00,Wednesday,71,0.05%,3542.61,85810,59.48%,118644,1243,0.86%,1671,441,16,0.01%,144255,4043,2.73%,01KNN5X3E8CM2MWVJZCTVYY5AA,Email,2,Live 2 Live
MM | 20260415 | 30D ENGAGED | RESEND | Hi-Vis Rerun,,[MULTIPLE VARIATIONS],14D ENGAGED (OPEN/CLICKED) (clone),2026-04-16 7:00:00,Thursday,34,0.03%,1691.7,66095,55.56%,92045,746,0.63%,907,421,12,0.01%,118962,19783,14.26%,01KNN61VE8HXBDPJKVP8NN70NM,Email,2,Live 2 Live
MM | 20260416 | CHECKOUT | RESEND | FREECARD,,[MULTIPLE VARIATIONS],30D ENGAGED (OPEN/CLICKED),2026-04-16 22:00:00,Thursday,59,0.05%,2531,73509,58.51%,103106,629,0.50%,779,431,13,0.01%,125629,22586,15.24%,01KNN0BS50MSSGKAF5MP94MZFJ,Email,2,Live 2 Live
MM | 20260417 | 7D ENGAGED | RESEND | YOU ARE ENOUGH CREWNECK,,[MULTIPLE VARIATIONS],7D ENGAGED (OPEN/CLICKED),2026-04-18 7:00:00,Saturday,28,0.03%,1332.86,70217,69.36%,99346,476,0.47%,611,277,5,0.01%,101240,18517,15.46%,01KNQ4D9F3J4GGQ9E9AMRVJNXH,Email,2,Live 2 Live
MM | 20260418 | 7D ENGAGED | YOU ARE ENOUGH CREWNECK 2ND PUSH,,[MULTIPLE VARIATIONS],7D ENGAGED (OPEN/CLICKED),2026-04-19 6:30:00,Sunday,25,0.02%,1196.69,63039,61.69%,89261,319,0.31%,370,207,6,0.01%,102191,17512,14.63%,01KNQ5M25EKQFNTZTP6K7Y7A9Y,Email,2,Live 2 Live
MM | 20260418 | 60D ENGAGED | RESEND | LONGSLEEVE PUSH,,[MULTIPLE VARIATIONS],60D ENGAGED (OPEN/CLICKED),2026-04-19 22:00:00,Sunday,24,0.02%,1106.6,66048,45.71%,91574,544,0.38%,658,458,11,0.01%,144501,24962,14.73%,01KNQ821BWSF7795XG3E33EM48,Email,2,Live 2 Live
MM | 20260420 | RPO | RESEND | Sorry the delivery is late,,[MULTIPLE VARIATIONS],RECENTLY PLACED ORDER,2026-04-21 7:00:00,Tuesday,77,0.22%,3163.37,21548,61.90%,34829,1884,5.41%,2439,263,5,0.01%,34812,9542,21.51%,01KNQ8GWEV1S4NSQ6Z37KKXPSG,Email,2,Live 2 Live
MM | 20260421 | 14D ENGAGED | $7.10 CREDIT,,LAST REMINDER TO CLAIM: Account Balance: $10.92,14D ENGAGED (OPEN/CLICKED) (clone),2026-04-22 7:00:00,Wednesday,75,0.07%,3718.39,63192,55.99%,89715,735,0.65%,893,315,10,0.01%,112853,1477,1.29%,01KPRG2G1J9BS3HTYDEQDF8ZGV,Email,2,Live 2 Live
MM | 20260421 | 30D ENGAGED | MEN'S MENTAL HEALTH HOODIE PUSH,,[MULTIPLE VARIATIONS],45D ENGAGED (OPEN/CLICKED),2026-04-23 7:00:00,Thursday,41,0.03%,1797.59,74445,54.86%,103757,637,0.47%,803,439,12,0.01%,135709,5234,3.71%,01KPRRMPZ8ZYK5YFB2K0XJ4HT9,Email,2,Live 2 Live
MM | 202604022 | HIGH INTENT | YOU ARE LOVED RERUN,,[MULTIPLE VARIATIONS],"ABANDONED CART, CHECKOUT INTENT (ALMOST BUYER), NEW SUBSCRIBERS (LAST 14 DAYS), Returning Buyers (2+Orders)",2026-04-23 22:00:00,Thursday,15,0.06%,777.9,11806,43.91%,16667,253,0.94%,330,130,3,0.01%,26885,4238,13.62%,01KPRTRWHQB586YSYBFXJXV8YA,Email,2,Live 2 Live
MM | 20260424 | RPO | YOU ARE LOVED (POWER OF GIFTING),,[MULTIPLE VARIATIONS],RECENTLY PLACED ORDER,2026-04-25 7:00:00,Saturday,29,0.08%,1559.88,17028,47.69%,24565,391,1.09%,445,184,5,0.01%,35703,6785,15.97%,01KPRVVVGBXH3JNBV1PD85HH7B,Email,2,Live 2 Live
MM | 20260425 | 30D ENGAGED | FREE TOTE BAG,,[MULTIPLE VARIATIONS],30D ENGAGED (OPEN/CLICKED),2026-04-26 7:00:00,Sunday,62,0.04%,2763.73,82433,60.15%,115696,811,0.59%,1046,396,7,0.01%,137047,1850,1.33%,01KPRZ8ZKHX3P4694GSZYTX7TX,Email,2,Live 2 Live
MM | 20260426 | 30D ENGAGED | FREE TOTE WITH TEE | MH AWARENESS MONTH,,"This one's from us, no strings attached (and not an April fool's joke..)",30D ENGAGED (OPEN/CLICKED),2026-04-27 7:00:00,Monday,44,0.03%,1863.19,65809,52.22%,91935,1061,0.84%,1186,422,5,0.00%,126022,337,0.27%,01KQ5K2PWX49HWJ9DQ93FRPAS4,Email,2,Live 2 Live
MM | 20260427 | RPO | FOUNDER APRIL HARDEST MONTH | REVENUE PUSH,,[MULTIPLE VARIATIONS],RECENTLY PLACED ORDER,2026-04-27 22:00:00,Monday,41,0.12%,1659.25,15763,46.98%,22371,426,1.27%,474,283,3,0.01%,33550,2283,6.37%,01KQ5NGMKVQT56HDT4K8CCFCEK,Email,2,Live 2 Live
MM | 20260429 | 14D ENGAGED | RESEND | LONG SLEEVES (,,[MULTIPLE VARIATIONS],"60 DAY CLICKED / 0 PLACED ORDER, ABANDONED CART, CHECKOUT INTENT (ALMOST BUYER), Returning Buyers (2+Orders)",2026-04-29 7:00:00,Wednesday,38,0.16%,1681.05,11700,49.95%,16657,685,2.92%,831,125,1,0.00%,23425,82,0.35%,01KQ9686W0APCH0FQZFJ6REF81,Email,2,Live 2 Live
Email 1,,[MULTIPLE VARIATIONS],"14D ENGAGED (OPEN/CLICKED) (clone), RECENTLY PLACED ORDER FROM 2026",2026-04-29 10:00:00,Wednesday,48,0.04%,2385.17,61498,56.73%,84564,684,0.63%,804,332,8,0.01%,108408,177,0.16%,01KQDRD7Y3085GJ060Z5HDMHM2,Email,2,Live 2 Live
Email 1,,"Last day of Mental Health Awareness Month, The trauma stops with me. 💜",30D ENGAGED (OPEN/CLICKED),2026-04-30 22:00:00,Thursday,15,0.01%,780.8,55626,47.35%,75834,348,0.30%,399,218,9,0.01%,117472,68,0.06%,01KQDYDMVE9YQZEQ4T870FMGWH,Email,2,Live 2 Live
Email 1,,New drop: The Trauma Stops With Me Hoodie 💜,60D ENGAGED (OPEN/CLICKED),2026-05-01 7:00:00,Friday,24,0.02%,1054.05,60651,43.62%,82075,497,0.36%,579,319,4,0.00%,139057,320,0.23%,01KQE1K4FSM06TYMSFBWX5KBWR,Email,2,Live 2 Live
MM | 20260501 | 7D ENGAGED |  | Text-based T-shirt bundle,,[MULTIPLE VARIATIONS],7D ENGAGED (OPEN/CLICKED),2026-05-03 7:00:00,Sunday,70,0.08%,3128.07,56583,68.18%,78992,594,0.72%,699,276,5,0.01%,82988,121,0.15%,01KQHPYFJZH0P7CW23VVBJNAC1,Email,2,Live 2 Live
MM | 20260503 | 30D ENGAGED | | Stay for tomorrow hoodie,,[MULTIPLE VARIATIONS],30D ENGAGED (OPEN/CLICKED),2026-05-04 7:00:00,Monday,54,0.05%,2379.03,58852,55.42%,79836,787,0.74%,981,415,6,0.01%,106194,91,0.09%,01KQHRPCXD6H53F9B3VSB1M5BT,Email,2,Live 2 Live
MM | 20260503 | 30D ENGAGED / NO PURCHASE | | May Mental Health Month A/B TEST Founder's Note,,[MULTIPLE VARIATIONS],"30D ENGAGED / NO PURCHASE, ABANDONED CART, ENGAGED NON-PURCHASERS (HIGH INTENT)",2026-05-06 6:00:00,Wednesday,4,0.01%,146.97,25800,43.75%,33276,187,0.32%,224,193,2,0.00%,58966,194,0.33%,01KQV9J3763F939EF7XFVFA1SA,Email,2,Live 2 Live
MM | 20260506 | 60D ENGAGED | May Mental Health Month Founder's Note,,[MULTIPLE VARIATIONS],60D ENGAGED (OPEN/CLICKED),2026-05-08 7:00:00,Friday,60,0.06%,2520.7,65748,61.26%,87773,574,0.53%,696,386,9,0.01%,107326,241,0.22%,01KQYH6RY671TTP3Q8SZT715FZ,Email,2,Live 2 Live
MM | 20260508 | 14D ENGAGED | Mothers Day rollout,,[MULTIPLE VARIATIONS],7D ENGAGED (OPEN/CLICKED),2026-05-09 7:00:00,Saturday,38,0.04%,1725.9,58294,67.04%,76648,444,0.51%,527,240,3,0.00%,86950,40,0.05%,01KR360D120ADY5EVJ3J7X8QMJ,Email,2,Live 2 Live
MM | 20260509 | 14D ENGAGED | Credit 12.84,,[MULTIPLE VARIATIONS],14D ENGAGED (OPEN/CLICKED) (clone),2026-05-10 7:00:00,Sunday,104,0.10%,4520.66,66204,66.46%,89084,1271,1.28%,1644,393,8,0.01%,99619,37,0.04%,01KR2WWC33MANEGVJZNBCC3GZC,Email,2,Live 2 Live
MM | 20260510,,[MULTIPLE VARIATIONS],45D ENGAGED (OPEN/CLICKED) / NO PURCHASES,2026-05-11 7:00:00,Monday,6,0.01%,315.8,33180,57.83%,42749,180,0.31%,228,148,4,0.01%,57373,29,0.05%,01KR5JJYHGN2EQ6VRZHP8F8PZZ,Email,2,Live 2 Live
MM | 20260511 | CHECKOUT | RESEND | FREECARD RESEND,,You're about to Lose $7.10,30D ENGAGED (OPEN/CLICKED),2026-05-12 7:00:00,Tuesday,38,0.04%,1303.82,47196,46.93%,60062,284,0.28%,338,215,6,0.01%,100562,87,0.09%,01KRB7KQ8EDTDD5JGVKRWZC81M,Email,2,Live 2 Live
MM | 20260412 | 30D ENGAGED | RESEND | T-shirt Bundle (clone),,[MULTIPLE VARIATIONS],14D ENGAGED (OPEN/CLICKED) (clone),2026-05-12 22:00:00,Tuesday,74,0.08%,3139.1,50492,53.03%,64076,896,0.94%,1241,384,8,0.01%,95218,80,0.08%,01KRBDVK6VH4ZZ4187TXB0TQRW,Email,2,Live 2 Live
MM | 20290513 | RPO | Best Performing Feb Remake,,[MULTIPLE VARIATIONS],RECENTLY PLACED ORDER,2026-05-14 7:00:00,Thursday,42,0.16%,1774.94,14913,56.67%,19838,251,0.95%,291,166,4,0.01%,26313,110,0.42%,01KRG1HNEVZW3M1MSZ7537VN9F,Email,2,Live 2 Live
MM | 20260515 | HIGH-INTENT AUDIENCE | MOTHER'S DAY HOODIE RESEND,,Because our mother's deserve to hear this 💖,"7D ENGAGED (OPEN/CLICKED), Returning Buyers (2+Orders)",2026-05-16 6:45:00,Saturday,17,0.02%,753,48257,56.86%,60869,240,0.28%,301,149,6,0.01%,84872,224,0.26%,01KRNG6DMAV83ERY703Z0MCCZ2,Email,2,Live 2 Live
MM | 20260515 | 7D ENGAGED | STRONGER THAN YOU THINK,,[MULTIPLE VARIATIONS],"ABANDONED CART, CHECKOUT INTENT (ALMOST BUYER), RECENTLY PLACED ORDER, Returning Buyers (2+Orders)",2026-05-16 22:00:00,Saturday,44,0.18%,1677.8,12905,52.13%,16894,695,2.81%,804,206,3,0.01%,24754,68,0.27%,01KRNK0MRXM20XF314WVG2EMTX,Email,2,Live 2 Live
MM | 20260513 | 7D ENGAGED | STRONGER THAN YOU THINK,,[MULTIPLE VARIATIONS],7D ENGAGED (OPEN/CLICKED),2026-05-17 7:00:00,Sunday,30,0.03%,1206.64,58849,68.68%,75827,581,0.68%,705,287,6,0.01%,85682,71,0.08%,01KRG18AJWX10N6NVPEF443QH1,Email,2,Live 2 Live
"MM | 20260517 | 14D ENGAGED | $15 on us — auto-applied, no code ",,[MULTIPLE VARIATIONS],14D ENGAGED (OPEN/CLICKED) (clone),2026-05-18 7:00:00,Monday,13,0.02%,571.36,48572,65.78%,62227,211,0.29%,246,163,4,0.01%,73836,85,0.11%,01KRNM4VEVPZ34W24E6RQ10C3X,Email,2,Live 2 Live
MM | 20260518 | 30D ENGAGED | Men's mental health,,[MULTIPLE VARIATIONS],14D ENGAGED (OPEN/CLICKED) (clone),2026-05-19 6:45:00,Tuesday,29,0.03%,1394.21,60389,63.02%,76593,441,0.46%,515,348,8,0.01%,95829,58,0.06%,01KRNRHFN1Y7YNKB6T128CHS0Y,Email,2,Live 2 Live
MM | 202605019 | 30D ENGAGED NO PURCHASE | Credit 12.84 (clone),,[MULTIPLE VARIATIONS],30D ENGAGED / NO PURCHASE,2026-05-19 22:15:00,Tuesday,19,0.03%,1062.59,35548,58.92%,44919,618,1.02%,739,258,5,0.01%,60333,22,0.04%,01KRWS10MDFY5X05S0NEW0SFQJ,Email,2,Live 2 Live
MM | 20260518 | 14D ENGAGED | STRONGER THAN YOU THINK,,[MULTIPLE VARIATIONS],14D ENGAGED (OPEN/CLICKED) (clone),2026-05-20 7:00:00,Wednesday,17,0.02%,869.43,54054,64.62%,67940,476,0.57%,548,210,2,0.00%,83643,54,0.07%,01KRNPVZQ7DRC9QJ5R1NAFK8GZ,Email,2,Live 2 Live
MM | 20260520 | 7D ENGAGED | FREE SHIPPING FOUNDER'S NOTE (IMAGE BASED),,[MULTIPLE VARIATIONS],7D ENGAGED (OPEN/CLICKED),2026-05-20 21:16:00,Wednesday,68,0.08%,2896.35,61126,68.48%,77426,1695,1.90%,2029,818,4,0.00%,89255,22,0.03%,01KS03RZ0WH3QDX6MTQ5EFG0E5,Email,2,Live 2 Live
MM | 20260521 | 30D ENGAGED |  Get your longsleeve 'You are Enough' shirt at a discount,,[MULTIPLE VARIATIONS],30D ENGAGED (OPEN/CLICKED),2026-05-22 7:00:00,Friday,36,0.03%,1405.59,64806,58.88%,78995,651,0.59%,781,270,3,0.00%,110064,196,0.18%,01KRNVNNJJ951EYF2GGCFE1E38,Email,2,Live 2 Live
MM | 20260520 | 14D ENGAGED | Meet our customers,,[MULTIPLE VARIATIONS],14D ENGAGED (OPEN/CLICKED) (clone),2026-05-22 21:18:00,Friday,19,0.02%,856.36,59034,61.23%,71774,276,0.29%,340,243,2,0.00%,96417,77,0.08%,01KRNSH7TBK0DN8G34KWN4WAZZ,Email,2,Live 2 Live
"MM | 20260523 | 120D ENGAGED |  | 40,000 Order",,"[Order #40,000] Your order has been refunded",120D ENGAGED (OPEN/CLICKED),2026-05-23 21:08:00,Saturday,63,0.04%,2454.51,72265,45.14%,83919,1144,0.71%,1293,648,53,0.03%,160081,192,0.12%,01KS04H15XXTG0MFSY917EW30X,Email,2,Live 2 Live
Email 1,,[MULTIPLE VARIATIONS],120D ENGAGED (OPEN/CLICKED),2026-05-25 7:03:00,Monday,12,0.01%,545.29,47128,28.32%,51181,1128,0.68%,1368,462,5,0.00%,166438,293,0.18%,01KSC49XNH05H3GBK1M6Y0GNQZ,Email,2,Live 2 Live
Text message 1,,Live 2 Live: Grab a FREE Tee when you order 2 hoodies! Last chance to get express shipping for free. https://kvy7.io/XXXXXX,SMS - Most Engaged UK,2026-04-30 22:15:00,Thursday,4,0.02%,110.91,n/a,n/a,n/a,123,0.70%,153,48,n/a,n/a,17571,33,n/a,01KQDZBQ37QJSPNG29JCKY41WM,SMS,2,Live 2 Live
Text message 1,,Your chance to get a FULL refund if you SHOP NOW with your credit. USE CODE: TREAT https://live2lives.org/products/dear-person-behind-me-you-are-enough-hoodie-b...,SMS - Most Engaged UK,2026-05-25 22:07:00,Monday,1,0.05%,35.04,n/a,n/a,n/a,12,0.64%,18,6,n/a,n/a,1882,6,n/a,01KSC49XB6PXE21BAZ79012HZJ,SMS,2,Live 2 Live
Best Performer 3,,VIP Circle: Read This (Or you'll regret it!),MM | EVERYONE ON THE LIST,2026-04-27 7:00:00,Monday,8,0.17%,540.88,2026,42.74%,3123,79,1.67%,92,122,0,0.00%,4740,25,0.53%,01KP4D3YQSN72SSCXA2T8AEJBB,Email,8,Sauna Protocol
Email 1,,It's my birthday. Your order might be on me.,MM | EVERYONE ON THE LIST,2026-05-08 6:30:00,Friday,7,0.14%,676.61,2531,52.25%,3540,56,1.16%,60,96,4,0.08%,4844,13,0.27%,01KQY3HBHN4DX8DQHDG1AF2150,Email,8,Sauna Protocol
MM | 20260509 | 30D ENGAGED | Best performer,,10 hours left {{ first_name|default:'brother' }}...,"MM | 30D ENGAGED, Returning Buyers (2+Orders) (clone)",2026-05-10 7:00:00,Sunday,13,0.43%,986.51,2163,71.65%,2999,54,1.79%,62,84,2,0.07%,3019,0,0.00%,01KR339F42Z8RR5R4VMVYAJHJQ,Email,8,Sauna Protocol
MM | 20260509 | 60D ENGAGED NO PURCHASES | May special deal (Image),,We got you guys for May...All the special deals inside,MM | 60D ENGAGED NO PURCHASES,2026-05-12 6:45:00,Tuesday,4,0.13%,271.79,1958,63.20%,2579,25,0.81%,35,85,0,0.00%,3098,0,0.00%,01KR5H1WGEQ5B0F9SNC2FZCA6E,Email,8,Sauna Protocol
MM | 20260509 | 60D ENGAGED NO PURCHASES | Sauna Tax Receipt,,[URGENT] Your Sauna Tax is coming around in silence!,MM | 60D ENGAGED NO PURCHASES,2026-05-13 5:15:00,Wednesday,1,0.03%,98.53,1926,65.91%,2565,16,0.55%,22,96,0,0.00%,2922,1,0.03%,01KR8MBC81RBWPKK3D2X1NH4QM,Email,8,Sauna Protocol
MM | 20260514 | FULL LIST | Sauna Tax Bundles,,Bryan Johnson just tested his sperm. it's bad (The most measured man alive).,MM | EVERYONE ON THE LIST,2026-05-15 7:00:00,Friday,4,0.08%,438.62,2227,45.15%,2921,42,0.85%,51,61,1,0.02%,4933,1,0.02%,01KRASVPPNWQE3X4X1DEE2TNAH,Email,8,Sauna Protocol
MM | 20260518 | 30D ENGAGED + Returning Buyer | Best performer,,Why I didn't just sell ice packs {{ first_name|default:'brother' }}...,"MM | 30D ENGAGED, Returning Buyers (2+Orders) (clone)",2026-05-17 6:45:00,Sunday,9,0.27%,614.28,2208,67.38%,2840,34,1.04%,42,55,1,0.03%,3277,3,0.09%,01KRAXDQS26WHTB6SJH3D1QVP2,Email,8,Sauna Protocol
MM | 20260517 | 30D ENGAGED | Best performer (clone),,[MULTIPLE VARIATIONS],MM | EVERYONE ON THE LIST,2026-05-18 7:00:00,Monday,4,0.09%,187.08,1984,43.41%,2518,28,0.61%,34,95,2,0.04%,4570,2,0.04%,01KRTP6AYQZ9799RWD92RWZG6S,Email,8,Sauna Protocol
MM | 20260518 | 60D ENGAGED NO PURCHASES | Fertility facts (Image based),,I went to a fertility lab. it was bad.,"MM | 60D ENGAGED NO PURCHASES, Returning Buyers (2+Orders) (clone)",2026-05-19 7:00:00,Tuesday,1,0.04%,79.7,1493,61.26%,1854,23,0.94%,28,36,0,0.00%,2437,0,0.00%,01KRDAAMCWNVMBQPGEY8ZYCFKF,Email,8,Sauna Protocol
MM | 20260518 | 30D ENGAGED + RETURNING CUST | the founder confession / reopening,,I wasn't going to send this...but here's a treat!!,"MM | 30D ENGAGED, Returning Buyers (2+Orders) (clone)",2026-05-21 7:00:00,Thursday,4,0.14%,265.17,1814,61.35%,2297,26,0.88%,30,60,1,0.03%,2957,1,0.03%,01KRDF6BGHA0HGWE0RBV4S9S5D,Email,8,Sauna Protocol
MM | 20260523 | Recently Placed Order | Refund On Us!,,[MULTIPLE VARIATIONS],MM | RECENTLY PLACED ORDER,2026-05-22 21:15:00,Friday,0,0.00%,0,1266,38.98%,1532,7,0.22%,9,26,0,0.00%,3248,2,0.06%,01KS53R29NWVV4F5MDXTNQ3S11,Email,8,Sauna Protocol
Email 1,,LAST CHANCE TO CLAIM IN MAY: Account Balance: $12.84,MM | EVERYONE ON THE LIST,2026-05-23 21:15:00,Saturday,4,0.08%,291.71,2024,38.27%,2404,28,0.53%,32,30,0,0.00%,5289,4,0.08%,01KRX1CV37KBEVMQ6YSRFPXXKK,Email,8,Sauna Protocol
MM | 20260525 | FULL LIST | MEM DAY SPECIAL,,MEM DAY SPECIAL: 30% off everything (3 days only),MM | EVERYONE ON THE LIST,2026-05-26 6:52:00,Tuesday,0,0.00%,0,4,20.00%,4,0,0.00%,0,0,0,0.00%,20,0,0.00%,01KS25TJ18HYS2VZJ9HZGG5STT,Email,8,Sauna Protocol
Email 1,,LAST REMINDER TO CLAIM: Account Balance: $17.89,MM | 90D ENGAGED,2026-05-02 19:30:00,Saturday,28,0.56%,1581.65,2458,49.31%,3338,99,1.99%,114,52,4,0.08%,4985,14,0.28%,01KP492EC7M394J9FX9KECF2D7,Email,7,Oxyfuel
MM | 20260505 | 30D ENGAGED NO PURCHASE | Founder's message,,"I want to be honest with you, {{ first_name|default:'friend' }}","MM | 14D ENGAGED/ No purchases, MM | Checkout Intent (ALMOST BUYER)",2026-05-06 22:00:00,Wednesday,1,0.07%,83.97,755,55.97%,992,9,0.67%,9,24,0,0.00%,1349,5,0.37%,01KQVB1YRYM3CY4ECJVGN51BQX,Email,7,Oxyfuel
Best Performer 3,,VIP Circle: Read This (Or you'll regret it!),"Email List, MM | 30D ENGAGED, MM | 90D ENGAGED",2026-05-09 21:45:00,Saturday,4,0.19%,250.33,918,42.98%,1280,24,1.12%,32,19,3,0.14%,2136,4,0.19%,01KP4D3YDSMB8RE5E14SK1WNNE,Email,7,Oxyfuel
Email 1,,Your last chance to claim: Account Balance: $17.89,MM | 90D ENGAGED,2026-05-11 21:45:00,Monday,22,0.45%,1231.73,2304,47.45%,2927,54,1.11%,64,35,6,0.12%,4856,33,0.68%,01KR5A6Q18EZVH2MPWT467AC90,Email,7,Oxyfuel
MM | 20260618 | 30D ENGAGED | VIP CIRLCE URGENCY TACTIC,,"10 hours left, {{ first_name|default:'' }}",MM | 90D ENGAGED,2026-05-18 22:00:00,Monday,9,0.24%,693.75,1487,40.53%,1826,25,0.68%,28,37,5,0.14%,3669,5,0.14%,01KRVGTT08ZQXW3N2PXFCT2WA9,Email,7,Oxyfuel
MM | 20260519 | 30D ENGAGED NO PURCHASE | USE WELCOME CODE,,Summer's coming. your liver isn't ready.,MM | 30D ENGAGED / NO PURCHASE,2026-05-19 21:45:00,Tuesday,2,0.27%,79.98,335,44.31%,421,2,0.27%,2,13,0,0.00%,756,2,0.26%,01KRVHKHN3EQD5KQHW946DJKWB,Email,7,Oxyfuel
Email 1,,YOU'VE UNLOCKED MAX SAVING: Account Balance: $17.89,MM | 90D ENGAGED,2026-05-20 21:45:00,Wednesday,12,0.34%,561.86,1633,46.38%,2004,23,0.65%,23,26,2,0.06%,3521,7,0.20%,01KRNBRAX7Q4NV0G65K7VYG5MY,Email,7,Oxyfuel
